datetime,ghi (w/m2),dni (w/m2),dhi (w/m2),wet bulb temp (c),dew point temp (c),energy (kwh),day_sin,day_cos,rolling_mean
1990-01-01,3337.0,288.5,3166.0,205.45725,174.85,213.118487,0.0,1.0,213.118487
1990-01-02,6372.5,4350.0,3111.5,179.8549,138.3,3920.92035,0.781831,0.62349,2067.019418
1990-01-03,4287.0,1709.0,3178.0,234.2597,211.7,1478.5973,0.974928,-0.222521,1870.878712
1990-01-04,1713.7,155.9,1662.8,238.20359,205.53,143.453738,0.433884,-0.900969,1847.657129
1990-01-05,3603.55,3877.35,1878.7,204.65956,184.045,3737.234485,-0.433884,-0.900969,1786.428508
1990-01-06,2554.416667,1675.083333,1818.5,154.413483,144.425,1504.484313,-0.974928,-0.222521,1795.057512
1990-01-07,2707.333333,2858.333333,1613.333333,114.446085,85.4,2709.312366,-0.781831,0.62349,2650.343721
1990-01-08,3098.75,4363.083333,1196.166667,120.408592,48.175,3509.61811,0.0,1.0,2574.471596
1990-01-09,3082.25,2049.25,2282.5,154.093525,141.475,1937.073781,0.781831,0.62349,2718.668085
1990-01-10,3199.5,673.5,2850.0,150.1564,136.8,553.579836,0.974928,-0.222521,2000.090575
1990-01-11,4520.0,1845.0,3548.0,209.4406,193.1,2194.6687,0.433884,-0.900969,1561.774106
1990-01-12,7657.0,8310.0,1591.0,168.2126,127.6,7087.3294,-0.433884,-0.900969,3278.525979
1990-01-13,3072.0,182.0,2958.0,221.2078,210.1,142.179874,-0.974928,-0.222521,3141.392658
1990-01-14,3947.0,1025.0,3398.0,250.422,229.3,997.307671,-0.781831,0.62349,2742.272315
1990-01-15,5923.5,4335.5,3310.5,229.81795,195.65,4007.808727,0.0,1.0,1715.765424
1990-01-16,6787.0,5695.0,3011.0,185.7375,137.2,5230.246,0.781831,0.62349,3411.787466
1990-01-17,7778.0,8023.0,1950.0,160.9922,103.0,7628.7497,0.974928,-0.222521,5622.268142
1990-01-18,8927.5,10925.0,1103.0,171.75166,119.4,10710.3495,0.433884,-0.900969,7856.4484
1990-01-19,8023.333333,8171.333333,1985.5,196.259467,159.383333,7971.082867,-0.433884,-0.900969,8770.060689
1990-01-20,9114.166667,9667.666667,1776.0,237.139983,175.366667,9143.824363,-0.974928,-0.222521,9275.085576
1990-01-21,6885.166667,5976.833333,2594.166667,284.341967,255.366667,5750.049579,-0.781831,0.62349,7621.652269
1990-01-22,6419.333333,4808.666667,3678.333333,286.928033,257.533333,4473.197567,0.0,1.0,6455.690503
1990-01-23,7700.0,8480.5,1187.5,165.026485,109.0,7844.904,0.781831,0.62349,6022.717049
